Species,Population,Temperature,mpa,Dish,Hour,Germinated,Germinable
AETR,035AT,20,-0.6,A,29.88333333,5,25
AETR,035AT,20,-0.6,A,33.71666667,0,25
AETR,035AT,20,-0.6,A,37.06666667,0,25
AETR,035AT,20,-0.6,A,42.5,0,25
AETR,035AT,20,-0.6,A,48.11666667,1,25
AETR,035AT,20,-0.6,A,53.7,0,25
AETR,035AT,20,-0.6,A,59.03333333,0,25
AETR,035AT,20,-0.6,A,72.41666667,0,25
AETR,035AT,20,-0.6,A,85.16666667,0,25
AETR,035AT,20,-0.6,A,97,0,25
AETR,035AT,20,-0.6,A,107.8666667,1,25
AETR,035AT,20,-0.6,B,5.85,0,25
AETR,035AT,20,-0.6,B,12.76666667,17,25
AETR,035AT,20,-0.6,B,17.5,2,25
AETR,035AT,20,-0.6,B,24.18333333,1,25
AETR,035AT,20,-0.6,B,29.88333333,1,25
AETR,035AT,20,-0.6,B,33.71666667,1,25
AETR,035AT,20,-0.6,B,37.06666667,0,25
AETR,035AT,20,-0.6,B,42.5,1,25
AETR,035AT,20,-0.6,B,48.11666667,1,25
AETR,035AT,20,-0.6,B,53.7,0,25
AETR,035AT,20,-0.6,B,59.03333333,0,25
AETR,035AT,20,-0.6,B,72.41666667,0,25
AETR,035AT,20,-0.6,B,85.16666667,1,25
AETR,035AT,20,-0.6,C,5.85,2,25
AETR,035AT,20,-0.6,C,12.76666667,16,25
AETR,035AT,20,-0.6,C,17.5,3,25
AETR,035AT,20,-0.6,C,24.18333333,1,25
AETR,035AT,20,-0.6,C,29.88333333,1,25
AETR,035AT,20,-0.6,C,33.71666667,0,25
AETR,035AT,20,-0.6,C,37.06666667,1,25
AETR,035AT,20,-0.6,C,42.5,0,25
AETR,035AT,20,-0.6,C,48.11666667,1,25
AETR,035AT,20,-0.6,D,5.85,5,25
AETR,035AT,20,-0.6,D,12.76666667,5,25
AETR,035AT,20,-0.6,D,17.5,3,25
AETR,035AT,20,-0.6,D,24.18333333,4,25
AETR,035AT,20,-0.6,D,29.88333333,1,25
AETR,035AT,20,-0.6,D,33.71666667,2,25
AETR,035AT,20,-0.6,D,37.06666667,0,25
AETR,035AT,20,-0.6,D,42.5,0,25
AETR,035AT,20,-0.6,D,48.11666667,1,25
AETR,035AT,20,-0.6,D,53.7,1,25
AETR,035AT,20,-0.6,D,59.03333333,0,25
AETR,035AT,20,-0.6,D,72.41666667,2,25
AETR,035AT,20,-0.6,D,85.16666667,0,25
AETR,035AT,20,-0.6,D,97,0,25
AETR,035AT,20,-0.6,D,107.8666667,1,25
AETR,035AT,20,-0.8,A,5.85,1,23
AETR,035AT,20,-0.8,A,12.76666667,8,23
AETR,035AT,20,-0.8,A,17.5,4,23
