species,population,temperature,dish,times,germinated,germinable
Centaurium somedanum,Malconcecho,15.8,A43,19,0,24
Centaurium somedanum,Malconcecho,15.8,A43,20,1,24
Centaurium somedanum,Malconcecho,15.8,A43,21,0,24
Centaurium somedanum,Malconcecho,15.8,A43,22,0,24
Centaurium somedanum,Malconcecho,15.8,A43,23,0,24
Centaurium somedanum,Malconcecho,15.8,A43,24,0,24
Centaurium somedanum,Malconcecho,15.8,A43,25,0,24
Centaurium somedanum,Malconcecho,15.8,A43,26,0,24
Centaurium somedanum,Malconcecho,15.8,A43,27,0,24
Centaurium somedanum,Malconcecho,15.8,A43,28,0,24
Centaurium somedanum,Malconcecho,14.3,A44,1,0,25
Centaurium somedanum,Malconcecho,14.3,A44,2,0,25
Centaurium somedanum,Malconcecho,14.3,A44,3,0,25
Centaurium somedanum,Malconcecho,14.3,A44,4,0,25
Centaurium somedanum,Malconcecho,14.3,A44,5,0,25
Centaurium somedanum,Malconcecho,14.3,A44,6,0,25
Centaurium somedanum,Malconcecho,14.3,A44,7,0,25
Centaurium somedanum,Malconcecho,14.3,A44,8,10,25
Centaurium somedanum,Malconcecho,14.3,A44,9,2,25
Centaurium somedanum,Malconcecho,14.3,A44,10,8,25
Centaurium somedanum,Malconcecho,14.3,A44,11,0,25
Centaurium somedanum,Malconcecho,14.3,A44,12,1,25
Centaurium somedanum,Malconcecho,14.3,A44,13,2,25
Centaurium somedanum,Malconcecho,14.3,A44,14,0,25
Centaurium somedanum,Malconcecho,14.3,A44,15,0,25
Centaurium somedanum,Malconcecho,14.3,A44,16,0,25
Centaurium somedanum,Malconcecho,14.3,A44,17,0,25
Centaurium somedanum,Malconcecho,14.3,A44,18,0,25
Centaurium somedanum,Malconcecho,14.3,A44,19,0,25
Centaurium somedanum,Malconcecho,14.3,A44,20,0,25
Centaurium somedanum,Malconcecho,14.3,A44,21,0,25
Centaurium somedanum,Malconcecho,14.3,A44,22,0,25
Centaurium somedanum,Malconcecho,14.3,A44,23,0,25
Centaurium somedanum,Malconcecho,14.3,A44,24,1,25
Centaurium somedanum,Malconcecho,14.3,A44,25,0,25
Centaurium somedanum,Malconcecho,14.3,A44,26,0,25
Centaurium somedanum,Malconcecho,14.3,A44,27,0,25
Centaurium somedanum,Malconcecho,14.3,A44,28,0,25
Centaurium somedanum,Malconcecho,12.9,A45,1,0,24
Centaurium somedanum,Malconcecho,12.9,A45,2,0,24
Centaurium somedanum,Malconcecho,12.9,A45,3,0,24
Centaurium somedanum,Malconcecho,12.9,A45,4,0,24
Centaurium somedanum,Malconcecho,12.9,A45,5,0,24
Centaurium somedanum,Malconcecho,12.9,A45,6,0,24
Centaurium somedanum,Malconcecho,12.9,A45,7,0,24
Centaurium somedanum,Malconcecho,12.9,A45,8,0,24
Centaurium somedanum,Malconcecho,12.9,A45,9,5,24
Centaurium somedanum,Malconcecho,12.9,A45,10,8,24
Centaurium somedanum,Malconcecho,12.9,A45,11,0,24
Centaurium somedanum,Malconcecho,12.9,A45,12,0,24
Centaurium somedanum,Malconcecho,12.9,A45,13,7,24
Centaurium somedanum,Malconcecho,12.9,A45,14,1,24
Centaurium somedanum,Malconcecho,12.9,A45,15,0,24
Centaurium somedanum,Malconcecho,12.9,A45,16,0,24
Centaurium somedanum,Malconcecho,12.9,A45,17,0,24
Centaurium somedanum,Malconcecho,12.9,A45,18,0,24
Centaurium somedanum,Malconcecho,12.9,A45,19,0,24
Centaurium somedanum,Malconcecho,12.9,A45,20,0,24
Centaurium somedanum,Malconcecho,12.9,A45,21,0,24
Centaurium somedanum,Malconcecho,12.9,A45,22,0,24
Centaurium somedanum,Malconcecho,12.9,A45,23,0,24
Centaurium somedanum,Malconcecho,12.9,A45,24,2,24
Centaurium somedanum,Malconcecho,12.9,A45,25,0,24
Centaurium somedanum,Malconcecho,12.9,A45,26,0,24
Centaurium somedanum,Malconcecho,12.9,A45,27,0,24
Centaurium somedanum,Malconcecho,12.9,A45,28,0,24
Centaurium somedanum,Malconcecho,11.5,A46,1,0,25
Centaurium somedanum,Malconcecho,11.5,A46,2,0,25
Centaurium somedanum,Malconcecho,11.5,A46,3,0,25
Centaurium somedanum,Malconcecho,11.5,A46,4,0,25
Centaurium somedanum,Malconcecho,11.5,A46,5,0,25
Centaurium somedanum,Malconcecho,11.5,A46,6,0,25
Centaurium somedanum,Malconcecho,11.5,A46,7,0,25
Centaurium somedanum,Malconcecho,11.5,A46,8,0,25
Centaurium somedanum,Malconcecho,11.5,A46,9,0,25
Centaurium somedanum,Malconcecho,11.5,A46,10,0,25
Centaurium somedanum,Malconcecho,11.5,A46,11,0,25
Centaurium somedanum,Malconcecho,11.5,A46,12,0,25
Centaurium somedanum,Malconcecho,11.5,A46,13,19,25
Centaurium somedanum,Malconcecho,11.5,A46,14,2,25
Centaurium somedanum,Malconcecho,11.5,A46,15,1,25
Centaurium somedanum,Malconcecho,11.5,A46,16,1,25
Centaurium somedanum,Malconcecho,11.5,A46,17,0,25
Centaurium somedanum,Malconcecho,11.5,A46,18,0,25
Centaurium somedanum,Malconcecho,11.5,A46,19,0,25
Centaurium somedanum,Malconcecho,11.5,A46,20,1,25
Centaurium somedanum,Malconcecho,11.5,A46,21,0,25
Centaurium somedanum,Malconcecho,11.5,A46,22,0,25
Centaurium somedanum,Malconcecho,11.5,A46,23,0,25
Centaurium somedanum,Malconcecho,11.5,A46,24,1,25
Centaurium somedanum,Malconcecho,11.5,A46,25,0,25
Centaurium somedanum,Malconcecho,11.5,A46,26,0,25
Centaurium somedanum,Malconcecho,11.5,A46,27,0,25
Centaurium somedanum,Malconcecho,11.5,A46,28,0,25
Centaurium somedanum,Malconcecho,10.1,A47,1,0,23
Centaurium somedanum,Malconcecho,10.1,A47,2,0,23
Centaurium somedanum,Malconcecho,10.1,A47,3,0,23
